index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000
666,https://www.zomato.com/jakarta/bakmi-sanjaya-tebet/info,130000.0,51.0,-6.228297,106.856053,0,3.9,1,6,0,4,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qqguxd,0.0,60.0,63.0,36.0,36.0,21.0,30.0,44.0,34.0,78.0,24.0,64.0,43.0,35.0,27.0,0.0,2.5658983808557654,0.06349206349206349
667,https://www.zomato.com/jakarta/saladstop-tebet/info,250000.0,48.0,-6.223422,106.8421,1,4.0,0,30,0,219,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000,qqgux7,3.0,48.0,38.0,53.0,22.0,17.0,36.0,27.0,6.0,58.0,30.0,50.0,34.0,29.0,34.0,0.0,2.5691664440124047,0.0
668,https://www.zomato.com/jakarta/point-cafe-tebet/info,60000.0,17.0,-6.22926,106.847557,0,3.1,1,3,0,5,00000000000000100000100000000000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,57.0,59.0,51.0,29.0,27.0,18.0,32.0,28.0,57.0,20.0,98.0,35.0,43.0,19.0,0.0,2.5374840057674457,0.2080536912751678
669,https://www.zomato.com/jakarta/mie-aceh-ayah-tebet/info,100000.0,73.0,-6.222698,106.847013,0,3.9,0,299,4,0,10000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux7,3.0,60.0,57.0,51.0,40.0,26.0,40.0,33.0,27.0,86.0,24.0,67.0,34.0,48.0,42.0,0.0,2.590181000277703,0.23469387755102042
670,https://www.zomato.com/jakarta/imperial-kitchen-dimsum-tebet/info,250000.0,210.0,-6.222477,106.842979,1,3.8,0,35,0,3,00000000000000000001000100000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,74.0,53.0,54.0,29.0,17.0,46.0,26.0,6.0,66.0,30.0,49.0,31.0,41.0,47.0,0.0,2.5485421993480615,0.07291666666666667
671,https://www.zomato.com/jakarta/fish-co-tebet/info,330000.0,597.0,-6.223954,106.84243,1,4.4,0,147,0,3,00000000000000000000000000000000000000000000000000010000000000000010000000000000000000,qqgux6,0.0,65.0,24.0,44.0,34.0,11.0,13.0,36.0,17.0,46.0,16.0,44.0,25.0,28.0,32.0,0.0,2.529226484042666,0.0
672,https://www.zomato.com/jakarta/cafe-major-tebet/info,80000.0,6.0,-6.223913,106.84904,0,2.7,0,177,4,0,00000000000000000000100000000000000000000000000000000000000000000000100000000000100000,qqgux6,0.0,97.0,67.0,56.0,50.0,20.0,27.0,55.0,42.0,80.0,19.0,96.0,24.0,47.0,44.0,0.0,2.522376508082409,0.12716763005780346
674,https://www.zomato.com/jakarta/autokoffie-tebet/info,150000.0,7.0,-6.240691,106.854348,0,3.3,0,145,0,1041,00000000000000000000100000000000000010000000000000000000000000000000100000000000000000,qqgurx,0.0,73.0,69.0,48.0,68.0,8.0,18.0,38.0,18.0,52.0,26.0,67.0,44.0,47.0,28.0,0.0,2.5133906772467847,0.3870967741935484
675,https://www.zomato.com/jakarta/killiney-tebet/info,150000.0,37.0,-6.222867,106.84313,0,2.5,0,198,0,6,00000000000000000010000000000000000000000000000000000000000010000000000000000000000000,qqgux7,3.0,70.0,44.0,48.0,26.0,17.0,34.0,23.0,6.0,62.0,24.0,35.0,34.0,41.0,44.0,0.0,2.5496755058609457,0.046511627906976744
676,https://www.zomato.com/jakarta/toraja-coffee-house-tebet/info,80000.0,153.0,-6.225834,106.836144,0,4.1,0,34,0,360,00000000000000000010100000000000000000000000000000000000000000000000000000000000100000,qqgux4,0.0,62.0,31.0,71.0,26.0,1.0,20.0,20.0,25.0,51.0,12.0,56.0,23.0,32.0,35.0,0.0,2.457700453351124,0.1357142857142857
679,https://www.zomato.com/jakarta/warung-petualang-tebet/info,80000.0,98.0,-6.23368,106.846514,0,3.8,4,0,0,903,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux3,3.0,56.0,68.0,19.0,53.0,17.0,22.0,19.0,9.0,56.0,30.0,45.0,32.0,33.0,24.0,0.0,2.5335011986707965,0.26153846153846155
682,https://www.zomato.com/jakarta/yakiniku-kintan-buffet-tebet/info,600000.0,407.0,-6.223651,106.841898,1,4.3,2,1,0,169,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqgux5,3.0,74.0,47.0,76.0,49.0,17.0,41.0,39.0,15.0,63.0,30.0,72.0,31.0,43.0,34.0,0.0,2.5631465975845624,0.147239263803681
683,https://www.zomato.com/jakarta/padang-merdeka-tebet/info,200000.0,96.0,-6.2257771584,106.8553679064,1,3.9,0,32,0,7,00000000000000000000000000000000000000000000000000000000010000000000000000000000000000,qqguxd,3.0,60.0,67.0,42.0,45.0,21.0,34.0,63.0,32.0,91.0,27.0,63.0,39.0,41.0,37.0,0.0,2.5840911944497247,0.029850746268656716
685,https://www.zomato.com/jakarta/frozen-express-1-tebet/info,70000.0,5.0,-6.233824,106.84955,0,3.5,0,9,0,5,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,83.0,93.0,45.0,70.0,21.0,24.0,27.0,25.0,67.0,32.0,96.0,43.0,46.0,21.0,0.0,2.51872170852541,0.05
687,https://www.zomato.com/jakarta/copaste-coffee-pasar-tebet-tebet/info,100000.0,38.0,-6.231939,106.845836,0,3.0,0,28,0,99,00000000000000000000101000000000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,64.0,69.0,37.0,56.0,26.0,22.0,29.0,12.0,69.0,22.0,52.0,39.0,44.0,24.0,0.0,2.5532081097882595,0.3217391304347826
688,https://www.zomato.com/jakarta/sop-kaki-kambing-kedai-estu-rame-tebet/info,80000.0,98.0,-6.241197,106.847444,0,3.9,4,0,0,222,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgurr,2.0,56.0,58.0,30.0,49.0,18.0,13.0,36.0,8.0,51.0,20.0,45.0,32.0,31.0,29.0,0.0,2.5444928596961027,0.25
689,https://www.zomato.com/jakarta/ayam-tulang-lunak-hayam-wuruk-tebet/info,150000.0,97.0,-6.234179,106.846783,1,3.5,1,5,0,17,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qqgux3,3.0,53.0,63.0,21.0,53.0,14.0,22.0,19.0,6.0,56.0,30.0,45.0,32.0,33.0,23.0,0.0,2.5271631131843897,0.047619047619047616
690,https://www.zomato.com/jakarta/selawaktu-coffee-tebet/info,150000.0,15.0,-6.235553,106.856997,0,3.7,0,111,0,1254,00010000000000000000100000000000000000000000000000000000000000000000000000000000000000,qqgux8,0.0,88.0,83.0,32.0,32.0,18.0,20.0,28.0,10.0,66.0,26.0,49.0,46.0,43.0,12.0,2.0,2.4778390629895695,0.3275862068965517
692,https://www.zomato.com/jakarta/soto-daging-h-ali-zen-surabaya-kampung-melayu/info,50000.0,22.0,-6.241217,106.869494,0,3.6,0,52,4,0,00000000000000000000000000000000000000010000000000000000000000000000010000000000000000,qqgurz,0.0,43.0,34.0,83.0,110.0,8.0,16.0,57.0,4.0,74.0,10.0,41.0,42.0,82.0,20.0,0.0,2.374497491169178,0.125
693,https://www.zomato.com/jakarta/rm-bebek-cawang-oriental-food-kampung-melayu/info,80000.0,10.0,-6.242663,106.872042,0,3.2,0,233,0,4,00000000000000000001000000000000000010000000000000000000000000000010000000000000000000,qqgurz,0.0,32.0,34.0,89.0,106.0,10.0,50.0,54.0,2.0,59.0,12.0,35.0,34.0,75.0,20.0,0.0,2.399600412171159,0.25
694,https://www.zomato.com/jakarta/kembali-ke-kala-tebet/info,50000.0,8.0,-6.238283,106.85668,0,3.4,1,3,2,1,00000000000000100000100000000000000000000000000000000000000000000000000000000000000000,qqgux8,0.0,105.0,94.0,39.0,53.0,16.0,22.0,33.0,12.0,89.0,26.0,47.0,42.0,76.0,10.0,2.0,2.4437911839508653,0.375
695,https://www.zomato.com/jakarta/sushigroove-tebet/info,250000.0,304.0,-6.223481,106.842372,1,3.9,0,8,0,3,00000000000000000000000000000000000000100000000000000000000000000000000000000010000000,qqgux7,3.0,47.0,35.0,49.0,22.0,17.0,31.0,25.0,6.0,58.0,27.0,44.0,34.0,29.0,34.0,0.0,2.5722819993207304,0.125
696,https://www.zomato.com/penangbistro-kokas/info,250000.0,255.0,-6.222818,106.842319,1,4.2,0,216,0,13,00000000000000000000000000000000000000000000000100000000000010000000000000000000000000,qqgux7,3.0,75.0,47.0,58.0,30.0,17.0,37.0,25.0,9.0,64.0,30.0,53.0,31.0,41.0,43.0,0.0,2.5558496487266074,0.008620689655172414
698,https://www.zomato.com/jakarta/nasi-campur-emanuel-tebet/info,120000.0,55.0,-6.239377,106.845581,0,3.4,0,340,4,0,00000000000000000101000000000000000000000000000000000000000000000000000000000000000000,qqgux2,2.0,80.0,44.0,25.0,27.0,19.0,16.0,30.0,6.0,35.0,16.0,54.0,38.0,60.0,17.0,0.0,2.4890637208326147,0.022222222222222223
699,https://www.zomato.com/jakarta/kopi-gudang-tebet/info,60000.0,7.0,-6.226146,106.861422,0,3.6,0,41,2,1,00000000000000000000100000000000000000000000000000000000000000000000000000000000100000,qqguxd,0.0,72.0,62.0,69.0,86.0,27.0,37.0,59.0,27.0,157.0,15.0,46.0,36.0,69.0,30.0,0.0,2.476394507716341,0.125
700,https://www.zomato.com/jakarta/pecel-lele-lela-tebet/info,90000.0,38.0,-6.224958,106.862347,0,2.7,1,5,0,74,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,qqguxd,0.0,84.0,98.0,95.0,81.0,24.0,63.0,61.0,21.0,155.0,11.0,38.0,32.0,63.0,37.0,0.0,2.4568988377186347,0.0
701,https://www.zomato.com/jakarta/the-peoples-cafe-tebet/info,200000.0,437.0,-6.224045,106.842236,1,4.0,0,206,0,3,00000000000000000000100000000100000011000000000000000000000000000000000000000000000000,qqgux6,0.0,65.0,24.0,48.0,34.0,11.0,13.0,36.0,17.0,46.0,16.0,47.0,25.0,25.0,29.0,0.0,2.5220319210990834,0.07407407407407407
702,https://www.zomato.com/jakarta/dailio-specialty-coffee-2-0-kampung-melayu/info,120000.0,4.0,-6.236498,106.875758,0,3.5,0,116,0,10,00000000000000000010100000000000000010000000000000000000000000000000000000000000000000,qquh80,0.0,27.0,48.0,132.0,114.0,18.0,16.0,73.0,18.0,82.0,8.0,43.0,42.0,89.0,24.0,0.0,2.384146315761187,0.35714285714285715
703,https://www.zomato.com/jakarta/affogato-coffee-1-tebet/info,80000.0,14.0,-6.228827,106.845608,0,3.5,1,4,0,19,00000000000000000000100000000000000000000000000000000000000000000000000000000000000000,qqgux6,0.0,75.0,49.0,41.0,41.0,15.0,21.0,36.0,20.0,61.0,18.0,54.0,35.0,49.0,27.0,0.0,2.540985794669419,0.17687074829931973
704,https://www.zomato.com/jakarta/elarte-sport-cafe-tebet/info,70000.0,16.0,-6.242912,106.856012,0,3.2,0,123,2,1,00000000000000100000100000000000000000000000000000000000000000000000100000000000000000,qqgurx,0.0,68.0,63.0,62.0,67.0,10.0,14.0,49.0,16.0,55.0,24.0,62.0,42.0,49.0,36.0,0.0,2.5191624337220526,0.20512820512820512
705,https://www.zomato.com/jakarta/sate-kambing-muda-habib-tebet/info,100000.0,67.0,-6.224961,106.861629,0,4.0,0,38,0,4,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,qqguxd,0.0,86.0,96.0,77.0,81.0,27.0,63.0,63.0,24.0,153.0,13.0,36.0,32.0,67.0,34.0,0.0,2.471186534651013,0.6
706,https://www.zomato.com/jakarta/warteg-warmo-tebet/info,80000.0,83.0,-6.230127,106.852363,0,2.9,4,0,0,9,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux3,3.0,94.0,92.0,60.0,51.0,20.0,21.0,37.0,48.0,81.0,35.0,128.0,54.0,41.0,21.0,2.0,2.519427784388568,0.30434782608695654
708,https://www.zomato.com/jakarta/kopikina-1-tebet/info,150000.0,419.0,-6.2396182068,106.8562312424,0,4.4,0,31,0,1463,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qqgux8,0.0,118.0,95.0,39.0,55.0,14.0,22.0,31.0,12.0,77.0,20.0,62.0,38.0,78.0,14.0,2.0,2.430938342551023,0.296875
709,https://www.zomato.com/jakarta/pezzo-pizza-tebet/info,60000.0,54.0,-6.223154,106.842354,1,3.7,0,60,4,0,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000,qqgux7,3.0,57.0,44.0,52.0,22.0,17.0,31.0,25.0,6.0,57.0,30.0,52.0,32.0,41.0,37.0,0.0,2.5619499569057753,0.02727272727272727
711,https://www.zomato.com/jakarta/banainai-tebet/info,60000.0,6.0,-6.224118,106.843207,1,3.2,0,154,0,8,00000000000000000000001000000000000000000000000000000000000000000000000000000001000000,qqgux6,0.0,69.0,28.0,44.0,34.0,11.0,15.0,37.0,17.0,49.0,10.0,41.0,28.0,32.0,32.0,0.0,2.5193098433788874,0.09482758620689655
713,https://www.zomato.com/jakarta/chung-gi-wa-tebet/info,300000.0,404.0,-6.223068,106.842024,1,3.6,0,59,0,16,00000000000100000000000000000000100000000001000000000000000000000000000000000000000000,qqgux5,3.0,88.0,55.0,78.0,52.0,17.0,41.0,38.0,18.0,70.0,30.0,77.0,31.0,55.0,40.0,0.0,2.5554823463199217,0.03592814371257485
714,https://www.zomato.com/jakarta/kerang-montok-tebet/info,80000.0,5.0,-6.235731,106.856911,0,3.4,0,20,0,12,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000,qqgux8,0.0,88.0,83.0,32.0,33.0,18.0,22.0,28.0,10.0,69.0,26.0,49.0,44.0,49.0,12.0,2.0,2.4795041781523963,0.034482758620689655
715,https://www.zomato.com/jakarta/pondok-makan-mirah-tebet/info,120000.0,39.0,-6.238773,106.847673,0,3.8,0,66,4,0,00000000000000000000000000000000000010000000000000000000000000000010000000000000000000,qqgux2,2.0,81.0,46.0,31.0,29.0,20.0,18.0,32.0,6.0,47.0,16.0,55.0,44.0,64.0,17.0,0.0,2.4948240155799057,0.39215686274509803
716,https://www.zomato.com/jakarta/dunkin-donuts-1-tebet/info,80000.0,42.0,-6.224533,106.854082,1,3.5,0,23,0,66,00000000000000000000101000000000000000000000000000000000000000000000000000000000100000,qqguxd,3.0,57.0,66.0,34.0,52.0,21.0,34.0,62.0,28.0,83.0,26.0,51.0,36.0,42.0,43.0,0.0,2.5894339119841225,0.25806451612903225
717,https://www.zomato.com/jakarta/natrabu-minang-restaurant-tebet/info,70000.0,9.0,-6.235154,106.846961,0,3.6,0,32,0,4,00000000000000000000000000000000000000000000000000000000010000000000000000000000000000,qqgux2,0.0,76.0,61.0,22.0,21.0,10.0,26.0,29.0,8.0,47.0,18.0,56.0,47.0,63.0,19.0,0.0,2.462772066094119,0.0
718,https://www.zomato.com/jakarta/bukan-mie-aceh-tebet/info,500000222.0,4.0,-6.22977,106.853207,0,3.4,0,750,0,73,10000000000000000000000000000000000000000000000000000000000000000000000000100000000000,qqgux9,3.0,92.0,100.0,46.0,44.0,20.0,33.0,38.0,42.0,77.0,35.0,110.0,72.0,54.0,23.0,2.0,2.544676164980864,0.08088235294117647
719,https://www.zomato.com/jakarta/i-ta-suki-tebet/info,280000.0,131.0,-6.224015,106.842384,1,3.4,2,1,0,134,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqgux6,0.0,65.0,24.0,44.0,34.0,11.0,13.0,36.0,17.0,43.0,16.0,44.0,25.0,25.0,29.0,0.0,2.528396380968528,0.14173228346456693
720,https://www.zomato.com/jakarta/yong-tau-fu-tebet/info,100000.0,25.0,-6.223045,106.843069,1,3.3,0,114,0,22,00000000000000000001000000000000000000000000000000000000000000000001000000000000000000,qqgux7,3.0,55.0,41.0,48.0,21.0,17.0,31.0,23.0,6.0,60.0,24.0,35.0,36.0,41.0,38.0,0.0,2.5619804536178528,0.060240963855421686
721,https://www.zomato.com/jakarta/chicago-popcorn-tebet/info,100000.0,20.0,-6.222998,106.843013,0,3.3,0,9,4,0,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,58.0,41.0,48.0,21.0,17.0,31.0,23.0,6.0,60.0,24.0,35.0,36.0,41.0,41.0,0.0,2.5590220889456123,0.10465116279069768
722,https://www.zomato.com/jakarta/bright-cafe-tebet/info,130000.0,6.0,-6.242254,106.852386,0,3.5,0,34,0,10,00000000000000000010100000000000000000000000000000000000000000000000000000000000100000,qqgurr,0.0,73.0,74.0,47.0,71.0,10.0,20.0,39.0,14.0,65.0,24.0,52.0,46.0,37.0,26.0,2.0,2.5186476934498936,0.25
723,https://www.zomato.com/jakarta/singapore-hainanese-chicken-rice-tebet/info,120000.0,22.0,-6.2227,106.843116,1,2.8,0,45,4,0,00000000000000000000000000000000000000000000000000000000000000000001000000000000000000,qqgux7,3.0,70.0,50.0,54.0,26.0,17.0,43.0,23.0,6.0,65.0,24.0,35.0,34.0,41.0,44.0,0.0,2.544186071611259,0.021505376344086023
724,https://www.zomato.com/jakarta/baskin-robbins-tebet/info,130000.0,10.0,-6.223782,106.84294,1,3.4,0,22,0,8,00000000000000000000001000000000001000000000000000000000000000000000000000000000000000,qqgux6,0.0,65.0,24.0,44.0,34.0,11.0,13.0,35.0,17.0,48.0,13.0,39.0,25.0,28.0,32.0,0.0,2.5239593404051046,0.08771929824561403
725,https://www.zomato.com/jakarta/excelso-tebet/info,230000.0,79.0,-6.223719,106.842179,1,3.4,0,122,0,6,01000000000000000000100000000000000010000000000000000000000000000000000000000000000000,qqgux7,3.0,45.0,32.0,49.0,20.0,17.0,31.0,27.0,6.0,58.0,27.0,41.0,34.0,29.0,34.0,0.0,2.5735891238683903,0.28440366972477066
728,https://www.zomato.com/jakarta/damn-coffee-by-lazy-sailor-kampung-melayu/info,50000.0,26.0,-6.237231,106.8696,0,3.0,0,26,0,109,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000,qqguxb,0.0,42.0,56.0,78.0,152.0,24.0,16.0,66.0,18.0,92.0,8.0,18.0,34.0,112.0,28.0,0.0,2.362887549388816,0.1111111111111111
729,https://www.zomato.com/jakarta/kopi-taman-tebet/info,120000.0,15.0,-6.223508,106.84999,0,3.8,0,55,0,6,00000000000000000000100000000000000000000000000000000000000000000000100000000000000000,qqgux7,3.0,51.0,49.0,51.0,37.0,23.0,38.0,41.0,40.0,86.0,18.0,97.0,30.0,40.0,42.0,2.0,2.5763466767646914,0.1323529411764706
730,https://www.zomato.com/jakarta/kopi-bos-tebet/info,80000.0,36.0,-6.226536,106.858946,0,3.8,0,31,0,1617,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qqguxd,0.0,60.0,46.0,46.0,88.0,15.0,31.0,62.0,40.0,136.0,12.0,64.0,42.0,44.0,31.0,0.0,2.4795922686759755,0.2619047619047619
731,https://www.zomato.com/jakarta/pondok-nasi-kebuli-ibu-hanna-tebet/info,100000.0,78.0,-6.224875,106.862908,0,3.8,0,302,4,0,00100000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqguxd,0.0,84.0,96.0,95.0,78.0,20.0,61.0,65.0,21.0,153.0,11.0,38.0,36.0,67.0,37.0,0.0,2.458393438084194,0.25
732,https://www.zomato.com/jakarta/kopi-soe-tebet/info,60000.0,11.0,-6.230386,106.851164,1,3.6,1,3,4,0,00000000000000100000100000000000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,93.0,95.0,60.0,49.0,20.0,22.0,38.0,44.0,71.0,35.0,125.0,50.0,48.0,25.0,2.0,2.5306277407840403,0.2152777777777778
733,https://www.zomato.com/jakarta/mawar-restaurant-hotel-bidakara-grand-pancoran-jakarta-tebet/info,400000.0,7.0,-6.240239,106.841949,0,2.8,0,272,0,250,01000000000000000000000001000000000010000000000000000000000000000000000000000000000000,qqgurp,0.0,68.0,66.0,20.0,46.0,19.0,32.0,50.0,4.0,43.0,4.0,43.0,27.0,36.0,22.0,0.0,2.460295057278012,0.20689655172413793
734,https://www.zomato.com/jakarta/lele-crispy-tebet/info,100000.0,109.0,-6.233794,106.849504,0,4.0,4,0,0,511,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux3,3.0,83.0,93.0,45.0,70.0,21.0,24.0,27.0,25.0,67.0,32.0,96.0,43.0,46.0,21.0,0.0,2.51872170852541,0.2916666666666667
735,https://www.zomato.com/jakarta/mcdonald-s-tebet/info,100000.0,116.0,-6.232091,106.845609,1,4.0,0,37,0,76,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000,qqgux3,3.0,60.0,57.0,34.0,55.0,26.0,22.0,25.0,12.0,69.0,21.0,52.0,38.0,44.0,22.0,0.0,2.5563788051439427,0.008928571428571428
737,https://www.zomato.com/jakarta/saint-cinnamon-coffee-tebet/info,100000.0,54.0,-6.222686,106.842424,1,3.6,0,70,0,19,00000100000000000000100000000000000000000000000000000000000000000000000000000000100000,qqgux7,3.0,75.0,53.0,58.0,30.0,17.0,43.0,25.0,9.0,64.0,30.0,53.0,30.0,41.0,46.0,0.0,2.5549696978270897,0.20175438596491227
738,https://www.zomato.com/jakarta/ropang-otw-tebet/info,100000.0,59.0,-6.228039,106.855208,0,3.4,0,33,0,1101,00000000000000000000000000000000000010000000000000000000000000000000000000100000000000,qqguxd,3.0,66.0,69.0,39.0,44.0,23.0,36.0,55.0,34.0,81.0,27.0,65.0,46.0,44.0,27.0,0.0,2.589881544379951,0.35294117647058826
739,https://www.zomato.com/jakarta/pizza-hut-1-tebet/info,250000.0,111.0,-6.223338,106.843241,1,3.8,0,115,0,13,01000000000000000000000000000000000000000000000000000000000000100000000000000000000000,qqgux7,3.0,55.0,41.0,48.0,18.0,17.0,31.0,23.0,9.0,60.0,24.0,34.0,36.0,38.0,38.0,0.0,2.568361059346179,0.024390243902439025
740,https://www.zomato.com/jakarta/mie-aceh-jaly-jaly-tebet/info,60000.0,175.0,-6.238735,106.845246,0,3.9,0,79,0,10,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000,qqgux2,2.0,81.0,45.0,19.0,28.0,19.0,18.0,31.0,4.0,34.0,16.0,48.0,38.0,60.0,17.0,0.0,2.479093297273616,0.0
741,https://www.zomato.com/jakarta/al-sadda-restaurant-kampung-melayu/info,200000.0,44.0,-6.23303,106.86721,0,3.8,0,144,0,136,00000000000000000000000000000000000000000000000000000100000000000000000000000000000000,qqguxc,0.0,18.0,20.0,105.0,30.0,2.0,16.0,59.0,20.0,144.0,4.0,46.0,50.0,64.0,23.0,0.0,2.2720025962609847,0.0
742,https://www.zomato.com/jakarta/h-nandar-soto-madura-tebet/info,80000.0,33.0,-6.228528,106.855878,0,3.8,0,54,1,2,00000000000000000000000000000000000000000000000000000000000000000000010000000000000000,qqguxd,0.0,63.0,64.0,36.0,36.0,21.0,32.0,44.0,34.0,76.0,24.0,64.0,45.0,37.0,27.0,0.0,2.567908235214068,0.047619047619047616
743,https://www.zomato.com/jakarta/cerita-coffee-tebet/info,50000.0,6.0,-6.230246,106.85819,0,3.1,1,4,0,39,00000000000000000000100000000000000000000000000000000000000000000000000000000000000000,qqgux9,0.0,72.0,72.0,53.0,100.0,14.0,24.0,52.0,50.0,122.0,23.0,101.0,50.0,36.0,36.0,2.0,2.504472064599377,0.23157894736842105
744,https://www.zomato.com/jakarta/masalalu-tebet/info,100000.0,68.0,-6.22531,106.847692,0,3.9,4,0,0,89,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux6,0.0,106.0,67.0,55.0,53.0,20.0,27.0,57.0,39.0,77.0,25.0,93.0,36.0,63.0,41.0,0.0,2.5373244339837733,0.1744186046511628
745,https://www.zomato.com/jakarta/miting-lobster-kampung-melayu/info,100000.0,21.0,-6.234616,106.867929,0,2.1,0,20,4,0,00000000000000000000000000000000000000000000000000000000000000000010000000000000000000,qqguxc,0.0,16.0,18.0,92.0,24.0,6.0,6.0,48.0,14.0,115.0,4.0,44.0,40.0,55.0,21.0,0.0,2.2791553636843296,0.0
746,https://www.zomato.com/jakarta/cobek-penyet-tebet/info,200000.0,117.0,-6.222602,106.842992,0,3.1,4,0,4,0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqgux7,3.0,74.0,53.0,54.0,29.0,17.0,43.0,26.0,6.0,66.0,24.0,48.0,34.0,41.0,47.0,0.0,2.5450488379233756,0.22340425531914893
747,https://www.zomato.com/jakarta/segafredo-tebet/info,150000.0,28.0,-6.224102,106.842136,1,3.3,0,182,0,902,00000000000000000010100000000000000001000000000000000000000000000000000000000000000000,qqgux6,0.0,66.0,25.0,48.0,35.0,11.0,13.0,39.0,17.0,46.0,16.0,47.0,25.0,25.0,30.0,0.0,2.521506037009168,0.12857142857142856
750,https://www.zomato.com/jakarta/bakmi-golek-kampung-melayu/info,120000.0,52.0,-6.240829,106.869426,0,3.6,0,682,4,0,00000010000000000001000000000000000000010000000000000000000000000000000000000000000000,qqgurz,0.0,38.0,32.0,82.0,112.0,8.0,18.0,54.0,4.0,69.0,10.0,41.0,38.0,81.0,16.0,0.0,2.3645325459968904,0.25
751,https://www.zomato.com/jakarta/okirobox-tebet/info,110000.0,70.0,-6.223411,106.843048,1,3.1,2,1,4,0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqgux7,3.0,52.0,41.0,48.0,18.0,17.0,31.0,23.0,6.0,57.0,24.0,32.0,36.0,35.0,35.0,0.0,2.5638598647348196,0.14634146341463414
752,https://www.zomato.com/jakarta/raffels-tebet/info,120000.0,63.0,-6.222944,106.842524,1,3.7,0,180,0,6,01000000000000000000000000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,60.0,44.0,55.0,24.0,17.0,34.0,25.0,6.0,60.0,30.0,51.0,30.0,41.0,42.0,0.0,2.558596684940832,0.009259259259259259
753,https://www.zomato.com/jakarta/shamrock-kitchen-bar-tebet/info,200000.0,94.0,-6.225152,106.846904,0,3.0,0,18,0,963,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010,qqgux6,0.0,92.0,62.0,51.0,48.0,18.0,27.0,56.0,31.0,79.0,19.0,79.0,35.0,61.0,44.0,0.0,2.5380685110751857,0.05732484076433121
755,https://www.zomato.com/jakarta/din-tai-fung-tebet/info,400000.0,59.0,-6.223606,106.84204,1,3.9,2,2,0,3,00000000000000000001000000000000000000000000000000000000000000000000000000000000000000,qqgux5,3.0,72.0,43.0,75.0,49.0,17.0,38.0,38.0,15.0,67.0,27.0,71.0,31.0,43.0,34.0,0.0,2.5595322782748067,0.05555555555555555
757,https://www.zomato.com/jakarta/citrus-cafe-tebet/info,200000.0,122.0,-6.242526,106.847982,0,3.5,0,193,0,16,00010000000000000010000000000000000000000000000000000000000000000000000000000000000010,qqgurr,2.0,54.0,62.0,30.0,50.0,18.0,12.0,36.0,8.0,48.0,20.0,50.0,34.0,37.0,29.0,0.0,2.5407648483137266,0.07142857142857142
758,https://www.zomato.com/jakarta/xing-fu-tang-tebet/info,70000.0,21.0,-6.223998,106.843151,0,3.9,0,11,2,1,00000000000000101000000000000000000000000000000000000000000000000000000000000000000000,qqgux6,0.0,67.0,28.0,44.0,34.0,11.0,13.0,37.0,17.0,49.0,10.0,39.0,25.0,30.0,32.0,0.0,2.51589493033159,0.0603448275862069
