index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000
652,https://www.zomato.com/jakarta/abuba-steak-tebet/info,450000.0,454.0,-6.229123,106.854552,1,3.9,0,24,0,151,00000000000000000000000000000000000000000000000000000000000000000000000001000000000000,qqguxd,3.0,70.0,71.0,38.0,37.0,23.0,31.0,44.0,28.0,70.0,20.0,64.0,45.0,50.0,18.0,0.0,2.567133367312477,0.0
654,https://www.zomato.com/jakarta/baso-menteng-tebet/info,60000.0,5.0,-6.223234,106.84263,0,2.7,0,25,4,0,00000001000000000000000000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,56.0,41.0,51.0,21.0,17.0,31.0,27.0,6.0,57.0,27.0,45.0,32.0,41.0,38.0,0.0,2.5657910107342046,0.0
655,https://www.zomato.com/jakarta/golden-lamian-tebet/info,140000.0,26.0,-6.22335,106.843156,1,3.0,0,17,4,0,00000010000000000001000000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,55.0,41.0,48.0,18.0,17.0,31.0,23.0,6.0,60.0,24.0,34.0,36.0,38.0,38.0,0.0,2.558295586546653,0.036585365853658534
656,https://www.zomato.com/jakarta/soto-betawi-haji-said-cipete-udik-tebet/info,100000.0,8.0,-6.221434,106.842815,0,2.9,0,42,4,0,00000000000001000000000000000000000000000000000000000000000000000000010000000000000000,qqgux7,3.0,85.0,63.0,60.0,36.0,26.0,56.0,33.0,12.0,78.0,28.0,57.0,30.0,45.0,50.0,0.0,2.5610424566350893,0.026785714285714284
657,https://www.zomato.com/jakarta/ice-hill-tebet/info,50000.0,40.0,-6.223236,106.842631,1,3.2,0,11,4,0,00000000000000101000000000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,56.0,41.0,51.0,21.0,17.0,31.0,27.0,6.0,57.0,27.0,45.0,32.0,41.0,38.0,0.0,2.5657910107342046,0.09183673469387756
658,https://www.zomato.com/jakarta/laka-laka-sate-kambing-tegal-batibul-tebet/info,130000.0,8.0,-6.223048,106.843067,0,3.2,0,53,4,0,00000000000000000000000000000000000000000000000000000000000000000100000000000000000000,qqgux7,3.0,55.0,41.0,48.0,21.0,17.0,31.0,23.0,6.0,60.0,24.0,35.0,36.0,41.0,38.0,0.0,2.5619804536178528,0.03614457831325301
659,https://www.zomato.com/jakarta/cafe-one-tebet/info,300000.0,46.0,-6.224194,106.839869,0,3.6,0,19,0,1466,00010000000000000000000000000000000000000000000000000000000000000000000000000000000010,qqgux4,3.0,71.0,39.0,67.0,25.0,2.0,26.0,18.0,20.0,50.0,19.0,57.0,27.0,45.0,26.0,0.0,2.4953723373742225,0.07692307692307693
660,https://www.zomato.com/jakarta/sour-sally-1-tebet/info,100000.0,87.0,-6.223124,106.842614,1,4.1,0,9,0,5,00000000000000000000001000000000000000000000000000000000000000000000000000000000000000,qqgux7,3.0,56.0,41.0,52.0,21.0,17.0,34.0,27.0,6.0,60.0,27.0,48.0,32.0,41.0,36.0,0.0,2.5623081554326186,0.09900990099009901
661,https://www.zomato.com/jakarta/dapur-rawit-tebet/info,120000.0,5.0,-6.242308,106.852549,0,3.4,0,445,0,80,00000000000000000000000000000000000010000000000000000000000000000000010000000000000010,qqgurr,0.0,79.0,76.0,47.0,73.0,6.0,20.0,39.0,14.0,65.0,24.0,53.0,46.0,39.0,30.0,2.0,2.5041299278948608,0.18181818181818182
662,https://www.zomato.com/jakarta/ichiban-sushi-1-tebet/info,200000.0,5.0,-6.224129,106.843212,1,2.3,0,44,4,0,00000000000000000000000000000000000000100000000000000000000000001000000000000010000000,qqgux6,0.0,69.0,28.0,44.0,34.0,11.0,15.0,37.0,17.0,49.0,10.0,41.0,28.0,32.0,32.0,0.0,2.5193098433788874,0.15517241379310345
664,https://www.zomato.com/jakarta/chang-tea-up-tebet/info,60000.0,49.0,-6.224085,106.843111,0,3.7,0,13,4,0,00000000000000100000000000000000000000000000000000000000000000000000000000000000000000,qqgux6,0.0,67.0,28.0,44.0,34.0,11.0,13.0,37.0,17.0,49.0,10.0,39.0,25.0,30.0,32.0,0.0,2.51589493033159,0.0603448275862069
