index,url,rest_price_idr,review,lat,long,is_chain,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_500_airport,d_500_atm,d_500_bank,d_500_cafe,d_500_convenience_store,d_500_gas_station,d_500_hospital,d_500_lodging,d_500_meal_takeaway,d_500_mosque,d_500_park,d_500_restaurant,d_500_school,d_500_store,d_500_supermarket,d_500_train_station,en_500,n_compt_500,avg_n_rest,rating
601,https://www.zomato.com/jakarta/fish-streat-tebet/info,150000,1161.0,-6.232798,106.856364,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000000000000000000000000000000000010000000000000000010,qqgux9,0.0,22.0,20.0,12.0,18.0,0.0,2.0,2.0,10.0,18.0,4.0,18.0,16.0,2.0,2.0,0.0,2.2966603234648586,0.08,3.25,4.1
1904,https://www.zomato.com/jakarta/the-swillhouse-scbd/info,400000,131.0,-6.2271556803,106.8069721386,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000000010,qqguw6,0.0,17.0,22.0,48.0,4.0,0.0,0.0,12.0,0.0,12.0,4.0,22.0,6.0,39.0,4.0,0.0,2.0897035655127203,0.1489361702127659,3.880952380952381,4.1
1264,https://www.zomato.com/jakarta/yabai-menteng/info,250000,297.0,-6.198028,106.828783,0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguwz,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,16.0,5.0,6.0,4.0,0.0,0.0,1.7155881528774692,0.0,0.0,4.4
5578,https://www.zomato.com/jakarta/martabakku-menteng-menteng/info,100000,1048.0,-6.187679,106.829951,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00000000000000000000000000000000000000000000000001000000000000000000000000100000000000,qqguyc,0.0,13.0,12.0,7.0,8.0,6.0,6.0,8.0,2.0,11.0,5.0,7.0,6.0,3.0,6.0,1.0,2.577641068824845,0.0952380952380952,3.65,4.3
1811,https://www.zomato.com/jakarta/burgreens-scbd/info,250000,324.0,-6.2254908547,106.8099047989,1,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,00000000000000000000000000000000010010000000000000000000000000000000000000000000000010,qqguwd,0.0,14.0,30.0,20.0,8.0,0.0,0.0,2.0,6.0,16.0,2.0,15.0,4.0,3.0,8.0,0.0,2.199571149678233,0.2409638554216867,3.5999999999999988,4.4
2807,https://www.zomato.com/jakarta/koi-th%C3%A9-pluit/info,70000,175.0,-6.1077535575,106.7793832719,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,00000000000000101000000000000000000000000000000000000000000000000000000000000000000000,qqgvmb,0.0,13.0,13.0,18.0,2.0,2.0,0.0,6.0,0.0,0.0,2.0,6.0,10.0,19.0,3.0,0.0,2.1322160583302763,0.0,0.0,4.2
2340,https://www.zomato.com/jakarta/fuwa-fuwa-1-tanjung-duren/info,100000,138.0,-6.177354,106.790674,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000100000000000000000000000000000000000000000000000000000000000000000000000000000000,qqguy5,0.0,3.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,4.0,0.0,1.813261632874258,0.0,0.0,4.0
1676,https://www.zomato.com/jakarta/maru-gojumong-dharmawangsa/info,400000,163.0,-6.2498787713,106.7987665907,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000100000000000000000000100000000001000000000000000000000000000000000000000000,qqguqq,0.0,35.0,28.0,12.0,8.0,2.0,1.0,20.0,0.0,4.0,8.0,4.0,6.0,14.0,7.0,0.0,2.221806184496489,0.0735294117647058,3.9,4.1
3901,https://www.zomato.com/jakarta/hi-fries-kuningan/info,70000,66.0,-6.2243516377,106.8269495666,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000000000000100000000000000000,qqguwf,0.0,17.0,1.0,6.0,19.0,0.0,4.0,12.0,60.0,10.0,4.0,9.0,10.0,31.0,11.0,0.0,2.174628225640874,0.0,0.0,4.0
5537,https://www.zomato.com/jakarta/hai-shien-fang-restaurant-pluit/info,300000,235.0,-6.097256,106.790882,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000000000000000000000000000000000000000000000010000000000000000000,qqgvq4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,1.1685184057430875,0.8,3.775,4.2
