index,url,title,rest_type,rest_price,rest_facility,rest_longlat,rating,review
1162,https://www.zomato.com/jakarta/ojju-thamrin/info,OJJU,Korean,Rp200.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Table booking recommended|Self Service|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951260000,106.8211160000']",4.2,"1,286"
1163,https://www.zomato.com/jakarta/le-bistro-casablanca-bar-thamrin/info,Le Bistro & Casablanca Bar,French,Rp300.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1860990000,106.8227350000']",3.8,18
1164,https://www.zomato.com/jakarta/roca-thamrin/info,ROCA,Italian,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1921750000,106.8235620000']",-,0
1165,https://www.zomato.com/jakarta/koffierasse-thamrin/info,Koffierasse,Coffee|Western,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Wifi|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1838830000,106.8237570000']",2.8,10
1166,https://www.zomato.com/jakarta/bakmi-bangka-thamrin/info,Bakmi Bangka 77,Bangka|Indonesian,Rp50.000 for two people (approx.),Breakfast|Takeaway Available|Outdoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1846310000,106.8232980000']",-,2
1167,https://www.zomato.com/jakarta/ruang-tengah-cafe-resto-thamrin/info,Ruang Tengah Cafe & Resto,Indonesian|Western|Coffee,Rp200.000 for two people (approx.),Home Delivery|Takeaway Available|Live Entertainment|Wifi|Indoor Seating|Table booking recommended|Kid Friendly|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1880690000,106.8241120000']",3.5,72
1168,https://www.zomato.com/jakarta/ayu-juice-thamrin/info,Ayu Juice,Juices|Beverages,Rp25.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|Outdoor Seating|BPOM Certified Kaki5|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1846180000,106.8247960000']",-,1
1169,https://www.zomato.com/jakarta/sushi-go-thamrin/info,Sushi Go!,Sushi|Japanese,Rp100.000 for two people (approx.),Takeaway Available|Wifi|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1950580000,106.8201350000']",4.5,"3,813"
1170,https://www.zomato.com/jakarta/yoshinoya-thamrin/info,Yoshinoya,Japanese|Fast Food,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951650000,106.8204400000']",4.2,290
1171,https://www.zomato.com/jakarta/nasi-uduk-gondangdia-cikini/info,Nasi Uduk Gondangdia,Betawi,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1925200000,106.8368810000']",3.3,174
1172,https://www.zomato.com/jakarta/moji-thamrin/info,MOJI,Beverages|Bubble Tea,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1947017973,106.8214939535']",3.4,7
1173,https://www.zomato.com/jakarta/maison-kayser-thamrin/info,Maison Kayser,Western|Coffee|Bakery,Rp400.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1897200000,106.8238460000']",3.7,8
1174,https://www.zomato.com/jakarta/yol%C3%A9-1-thamrin/info,Yol̩,Desserts,Rp100.000 for two people (approx.),Home Delivery|Takeaway Available|Self Service|Indoor Seating|Desserts and Bakes,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951670000,106.8204400000']",3.4,43
1175,https://www.zomato.com/jakarta/ippudo-thamrin/info,Ippudo,Ramen|Japanese,Rp250.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Table booking recommended|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951450000,106.8197420000']",4.6,828
1176,https://www.zomato.com/jakarta/afterhour-thamrin/info,Afterhour,Grill|Italian,Rp400.000 for two people (approx.) Without alcohol,Takeaway Available|Full Bar Available|Nightlife|Indoor Seating|Table booking recommended|Wifi|Serves Cocktails|Smoking Area,"['https://www.google.com/maps/dir/?api=1&destination=-6.1877510000,106.8240450000']",3.7,40
1177,https://www.zomato.com/jakarta/roemah-kuliner-cikini/info,Roemah Kuliner,Indonesian,Rp300.000 for two people (approx.),Takeaway Available|Private Dining Area Available|Indoor Seating|Table booking recommended|Praying Room|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2002000000,106.8437420000']",3.7,285
1178,https://www.zomato.com/jakarta/the-pancake-co-by-dore-thamrin/info,The Pancake Co. By Dore,Japanese,Rp250.000 for two people (approx.),Home Delivery|Takeaway Available|Table booking recommended|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951660000,106.8204420000']",3.8,108
1179,https://www.zomato.com/jakarta/91st-street-menteng/info,91st Street,Western|Indonesian,Rp500.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Full Bar Available|Indoor Seating|Smoking Area|Outdoor Seating|Table booking recommended|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1873390000,106.8257190000']",3.3,126
1180,https://www.zomato.com/jakarta/goola-1-thamrin/info,Goola,Indonesian,Rp120.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Self Service|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951670000,106.8204400000']",-,2
1181,https://www.zomato.com/jakarta/ketan-susu-kemayoran-thamrin/info,Ketan Susu Kemayoran,Desserts,Rp40.000 for two people (approx.),Takeaway Available|Outdoor Seating,"['https://www.google.com/maps/dir/?api=1&destination=-6.1848210000,106.8237810000']",-,2
1182,https://www.zomato.com/jakarta/rendezvous-menteng/info,Rendezvous,Chinese,Rp350.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1870400000,106.8325430000']",4.5,295
1183,https://www.zomato.com/jakarta/qq-kopitiam-1-thamrin/info,QQ Kopitiam,Peranakan|Indonesian|Desserts,Rp150.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1931280000,106.8224810000']",2,57
1184,https://www.zomato.com/jakarta/sushi-tei-thamrin/info,Sushi Tei,Japanese,Rp280.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1949370000,106.8203060000']",4.6,587
1185,https://www.zomato.com/jakarta/restoran-ikan-tude-manado-thamrin/info,Restoran Ikan Tude Manado,Manado,Rp150.000 for two people (approx.),Home Delivery|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.2020490000,106.8234460000']",4,157
1186,https://www.zomato.com/jakarta/midori-menteng/info,Midori,Japanese|Ramen|Sushi,Rp200.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Table booking recommended|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1867880000,106.8265050000']",4.3,329
1187,https://www.zomato.com/jakarta/pizza-e-birra-sports-bar-thamrin/info,Pizza e Birra Sports Bar,Italian|Pizza,Rp300.000 for two people (approx.) Without alcohol,Beer|Indoor Seating|Wifi|Table booking recommended,"['https://www.google.com/maps/dir/?api=1&destination=-6.1932370000,106.8218220000']",4.1,261
1188,https://www.zomato.com/jakarta/warung-leko-thamrin/info,Warung Leko,Jawa,Rp230.000 for two people (approx.),Takeaway Available|Wifi|Indoor Seating|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1947960000,106.8213690000']",4,184
1189,https://www.zomato.com/jakarta/tom-tom-thamrin/info,Tom Tom,Thai,Rp300.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Table booking recommended|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1951740000,106.8197380000']",4.4,"1,250"
1190,https://www.zomato.com/jakarta/cgv-kitchen-thamrin/info,CGV Kitchen,Western|Italian|Asian,Rp250.000 for two people (approx.),Takeaway Available|Indoor Seating|Brunch|Table booking not available|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1952710000,106.8198130000']",-,1
1191,https://www.zomato.com/jakarta/kopi-kanto-thamrin/info,Kopi Kanto,Coffee|Snacks,Rp50.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1900080000,106.8244210000']",3.8,23
1192,https://www.zomato.com/jakarta/ninety-nine-thamrin/info,Ninety-Nine,Fusion|Indonesian|Western,Rp250.000 for two people (approx.) Without alcohol,Takeaway Available|Beer|Table booking recommended|Indoor Seating|Wifi,"['https://www.google.com/maps/dir/?api=1&destination=-6.1950280000,106.8214410000']",4.2,654
