,index,url,rest_price_idr,review,lat,long,is_chain,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_1000_airport,d_1000_atm,d_1000_bank,d_1000_cafe,d_1000_convenience_store,d_1000_gas_station,d_1000_hospital,d_1000_lodging,d_1000_meal_takeaway,d_1000_mosque,d_1000_park,d_1000_restaurant,d_1000_school,d_1000_store,d_1000_supermarket,d_1000_train_station,en_1000,n_compt_1000,avg_n_rest,rating
2901,4446,https://www.zomato.com/jakarta/yakiniku-kintan-buffet-senayan/info,600000,542.0,-6.2270346931,106.7969802395,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguw4,0.0,150.0,58.0,80.0,14.0,15.0,24.0,55.0,7.0,42.0,18.0,75.0,46.0,75.0,53.0,0.0,2.398550282777212,0.2043010752688172,3.926315789473683,4.4
2940,1357,https://www.zomato.com/jakarta/anomali-coffee-menteng/info,200000,472.0,-6.199406,106.837015,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000100000000000000010000000000000000000000000000000000000000000000010,qqguxp,0.0,72.0,51.0,39.0,10.0,9.0,37.0,67.0,3.0,75.0,29.0,42.0,79.0,41.0,26.0,0.0,2.443483782993539,0.4470588235294118,3.3368421052631576,4.1
1525,1778,https://www.zomato.com/jakarta/sofia-at-the-gunawarman-senopati/info,700000,1093.0,-6.2320558029,106.8077503145,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00010000000000000000000001000000000000000000000000000000000000000000000000000000000010,qqguw3,0.0,130.0,57.0,75.0,76.0,0.0,16.0,42.0,26.0,62.0,26.0,80.0,44.0,59.0,26.0,0.0,2.42601249482572,0.1011764705882353,3.876744186046512,4.2
606,1816,https://www.zomato.com/jakarta/patio-venue-dharmawangsa/info,400000,272.0,-6.2496824673,106.8015537411,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00010000000000000000000000000000000000000000000000000000000000100000000000000000000000,qqguqq,0.0,109.0,57.0,55.0,38.0,7.0,14.0,67.0,14.0,24.0,33.0,49.0,29.0,59.0,50.0,0.0,2.461664000089748,0.0375,3.655555555555556,4.3
3650,4152,https://www.zomato.com/jakarta/soto-betawi-bang-sawit-kuningan/info,150000,253.0,-6.218442,106.834471,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000001000000000000000000000000000000000000000000000000000000010000000000000000,qqgux5,0.0,59.0,48.0,68.0,67.0,2.0,27.0,47.0,60.0,60.0,15.0,50.0,24.0,18.0,52.0,0.0,2.4929690030406686,0.0314465408805031,3.22,4.3
2032,6241,https://www.zomato.com/jakarta/bakmie-wie-sin-kelapa-gading/info,70000,46.0,-6.1671056441,106.9050199539,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000010000000000000000000000000000000000000000000000000000000000000000000000000000000,qquhbt,0.0,76.0,108.0,50.0,36.0,0.0,28.0,75.0,13.0,16.0,22.0,90.0,61.0,71.0,22.0,0.0,2.389564895524723,0.1785714285714285,3.705000000000001,4.0
3445,6593,https://www.zomato.com/jakarta/genki-sushi-1-kemang/info,250000,52.0,-6.260496,106.812702,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000010000000,qqguqs,0.0,37.0,33.0,29.0,13.0,9.0,11.0,25.0,9.0,25.0,1.0,34.0,24.0,26.0,15.0,0.0,2.483096025180173,0.0689655172413793,3.683333333333333,4.0
4063,1536,https://www.zomato.com/jakarta/le-gran-cafe-hotel-gran-mahakam-blok-m/info,700000,184.0,-6.244416,106.795477,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000010,qqguqp,0.0,109.0,49.0,33.0,38.0,8.0,48.0,67.0,17.0,44.0,36.0,26.0,40.0,53.0,43.0,0.0,2.5068561395372466,0.2727272727272727,3.6633333333333336,4.3
785,6475,https://www.zomato.com/jakarta/grom-senayan/info,110000,205.0,-6.2251638883,106.799358353,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,00000000000000000000001000000000001000000000000000000000000000000000000000000000000000,qqguw6,0.0,96.0,46.0,58.0,13.0,3.0,12.0,36.0,3.0,26.0,16.0,66.0,31.0,64.0,14.0,0.0,2.331423195975312,0.1417322834645669,3.672222222222224,4.3
1142,6422,https://www.zomato.com/jakarta/pepper-lunch-senayan/info,200000,169.0,-6.225426,106.799437,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguw6,0.0,96.0,41.0,55.0,13.0,3.0,12.0,32.0,3.0,26.0,18.0,66.0,33.0,64.0,14.0,0.0,2.335060428911901,0.1774193548387097,3.963636363636363,4.0
1974,1856,https://www.zomato.com/jakarta/eatlah-blok-m/info,120000,422.0,-6.2388923008,106.7903618887,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00010000000000000000000000000000000000000000000000000000000000000000000000000000000000,qqguw0,0.0,77.0,46.0,56.0,30.0,18.0,49.0,42.0,15.0,55.0,26.0,78.0,68.0,28.0,29.0,3.0,2.5515135249474,0.037037037037037,3.5,4.4
205,917,https://www.zomato.com/jakarta/prabu-steak-coffee-tebet/info,200000,244.0,-6.22559,106.852402,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00000000000000000010000000000000000010000000000000000000000000000000000000000000000010,qqgux6,0.0,99.0,85.0,42.0,60.0,19.0,33.0,70.0,46.0,106.0,29.0,87.0,34.0,43.0,46.0,2.0,2.541456363097616,0.2407407407407407,3.592307692307692,4.1
303,1706,https://www.zomato.com/jakarta/limu-poke-scbd/info,200000,133.0,-6.2257831578,106.8099326268,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,00000000000000000000000000000000010000000000000000000000000000000000000000000000000000,qqguwd,0.0,104.0,60.0,61.0,16.0,0.0,9.0,37.0,12.0,51.0,27.0,52.0,26.0,35.0,18.0,0.0,2.366013581287407,0.0218181818181818,3.683333333333333,4.0
2050,5973,https://www.zomato.com/jakarta/thai-street-setiabudi/info,220000,462.0,-6.2158570938,106.830143407,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000000000000000000000000010000,qqguwu,0.0,118.0,49.0,44.0,60.0,0.0,37.0,63.0,74.0,77.0,26.0,53.0,49.0,51.0,43.0,0.0,2.497134890897004,0.0,0.0,4.1
3651,201,https://www.zomato.com/jakarta/may-star-kelapa-gading/info,300000,133.0,-6.1456973862,106.8927806988,1,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000001000100000000000000000000000000000000000000000000000000000000000000,qquj03,0.0,55.0,43.0,39.0,24.0,13.0,16.0,28.0,7.0,8.0,3.0,45.0,26.0,39.0,12.0,0.0,2.4320540477266124,0.1585365853658536,3.684615384615384,4.1
