index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac,encode,geohash,d_250_airport,d_250_atm,d_250_bank,d_250_cafe,d_250_convenience_store,d_250_gas_station,d_250_hospital,d_250_lodging,d_250_meal_takeaway,d_250_mosque,d_250_park,d_250_restaurant,d_250_school,d_250_store,d_250_supermarket,d_250_train_station,en_250,n_compt_250,avg_n_rest
1946,https://www.zomato.com/jakarta/fedwell-senopati/info,250000,895.0,-6.232793717,106.8109900877,1,4.6,0,2089,0,874,00000010000000000000000000000000010000000000000000000000000000000000000000000000000000,qqguw9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1948,https://www.zomato.com/jakarta/bubur-ayam-senopati-senopati/info,30000,24.0,-6.2308392756,106.8084909394,0,3.8,0,585,0,401,00000000000000000000000000000000000010100000000000000000000000000000000000100000000000,qqguw3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,5.0,2.0,0.0,2.0,0.0,1.5173067399949574,0.21428571428571427,3.316666666666667
1949,https://www.zomato.com/jakarta/go-curry-scbd/info,250000,400.0,-6.225791157,106.8098856881,0,4.0,0,1171,0,572,00010000000000000000100000000000000100100000000000000000000000000000000000000000110000,qqguwd,0.0,0.0,2.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.3321790402101223,0.18181818181818182,3.3499999999999996
1950,https://www.zomato.com/jakarta/indoguna-meat-shop-senopati/info,150000,82.0,-6.2395325513,106.8114588037,0,4.0,0,360,0,15,00000000000000000000100000000000000000000000000000000000000000000000000001000000000000,qqguw8,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,1.711845135233912,0.3333333333333333,3.85
1951,https://www.zomato.com/jakarta/pak-ngah-kopitiam-senopati/info,100000,6.0,-6.2406654029,106.8044086173,0,2.9,0,622,0,73,00000000000000000001000000000000000000010000000000000000000000000000000000000100000000,qqguqr,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5623351446188083,0.2,4.2
1952,https://www.zomato.com/jakarta/ketoprak-ciragil-senopati/info,60000,145.0,-6.2373085023,106.8093328178,0,3.3,0,68,1,2,00000001000000000000000000000000000010000000000000000000000000000000000000000000000000,qqguw8,0.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,6.0,1.0,0.0,0.0,1.65806320541017,0.1875,3.733333333333333
1953,https://www.zomato.com/jakarta/cecemuwe-caf%C3%A9-and-space-blok-m/info,200000,60.0,-6.236154646,106.793384403,0,3.8,0,207,1,3,00000000000000000000000000000000000011000000000000000000000000000000000000000000000000,qqguw0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0
1954,https://www.zomato.com/jakarta/minq-kitchen-senopati/info,200000,40.0,-6.2361109848,106.8136253581,0,3.5,0,133,0,1975,00000000000000100001100000000000000000000000000000000000000000000000000000000000000000,qqguw8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,3.4
1955,https://www.zomato.com/jakarta/bilik-senja-dharmawangsa/info,110000,106.0,-6.2504086916,106.7980487645,0,3.8,0,856,0,26,00000000000000000000100100000000000010000000000000000000000000000000010000000000100010,qqguqn,0.0,10.0,5.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,2.0232407589250263,0.25,3.6374999999999997
1956,https://www.zomato.com/jakarta/the-goods-diner-scbd/info,450000,704.0,-6.226868,106.806981,0,4.1,0,1689,0,1753,00000001000000000100000001000000000000000000000000000000000000000000000000000000000000,qqguw6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6931471805599453,0.0,0.0
1958,https://www.zomato.com/jakarta/stillwater-coffee-co-senopati/info,200000,262.0,-6.2380367435,106.8075642362,0,3.9,0,507,0,1401,00000000000000000010000000000000000001000000000000000000000000000000000000000000000010,qqguw2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3296613488547582,0.25,3.9
1959,https://www.zomato.com/jakarta/fried-funk-senopati/info,80000,10.0,-6.240063482,106.8120522425,0,3.6,0,991,0,136,00000000000000000000000000000000000000010000000000000000000000000100010000000000000010,qqguw8,0.0,1.0,3.0,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,2.0,0.0,2.3110978862127145,0.07692307692307693,3.8
1960,https://www.zomato.com/jakarta/seorak-chuoetang-bumbu-satu-senopati/info,300000,100.0,-6.232411095,106.8107456714,0,4.1,0,687,0,319,00000100000000000010100000000000000010000001000000000000000000000000000000000000100000,qqguw9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.4,3.8
1961,https://www.zomato.com/jakarta/nasi-kuning-cakalang-oma-senopati/info,50000,48.0,-6.2431217392,106.8088895828,0,3.9,0,868,0,9,00000000000000000000000000000000000000000000000010000000000000000010000000000000000000,qqguqr,0.0,5.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,5.0,0.0,1.9576154790480933,0.0,0.0
1962,https://www.zomato.com/jakarta/the-takemori-dharmawangsa/info,500000,351.0,-6.2533859011,106.8017143384,0,4.5,0,216,0,123,00000001000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1964,https://www.zomato.com/jakarta/madera-kitchen-dharmawangsa/info,315000,261.0,-6.2534802197,106.8017502129,0,4.2,0,663,0,1584,00000000000000101000000000000000000001000000000000000000000000000000000000000000000010,qqguqm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1965,https://www.zomato.com/jakarta/sajian-masakan-indonesia-senopati/info,110000,32.0,-6.2372511761,106.8073469773,0,3.0,0,54,0,247,00000000000000000000100000000000000010000000000000000000000000000000000000000000000010,qqguw2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0549201679861442,1.0,3.4333333333333336
1966,https://www.zomato.com/jakarta/dimsum-santa-vegetarian-senopati/info,50000,5.0,-6.2401254739,106.8121276796,0,3.0,0,411,4,0,00000000000000000000000100000000000010000000000000000000000000000000000000000000000000,qqguw8,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,2.091138882620417,0.14285714285714285,3.8
1967,https://www.zomato.com/jakarta/warung-kopi-mendem-irenk-senopati/info,60000,9.0,-6.241501625,106.8083159253,0,3.5,0,29,0,58,00000000000000000010100000000000000000000000000000000000000000000000000000000000000000,qqguqr,0.0,5.0,0.0,3.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,4.0,0.0,2.116240783394574,0.22727272727272727,3.9799999999999995
1968,https://www.zomato.com/jakarta/meatman-nikuo-scbd/info,250000,180.0,-6.226647,106.804148,0,4.2,0,291,0,25,00000000000000101000000000000000000000100000000000000000000000000000000000000000000000,qqguw6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1969,https://www.zomato.com/jakarta/six-ounces-coffee-dharmawangsa/info,200000,237.0,-6.2497487907,106.8004272133,0,4.2,0,101,0,1345,00000000000000000010100000000000000000000000000000000000000000000000000000000000000010,qqguqq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.1
1970,https://www.zomato.com/jakarta/kaihomaru-melawai/info,350000,122.0,-6.2447605125,106.7995424196,0,4.2,0,2257,0,1933,00000000000000000000000000000000000001000000000000000000000000100000000000000010000000,qqguqr,0.0,8.0,4.0,5.0,4.0,2.0,0.0,3.0,0.0,1.0,4.0,13.0,1.0,2.0,3.0,0.0,2.2314858388222203,0.02631578947368421,4.1
1971,https://www.zomato.com/jakarta/saladcro-senopati/info,90000,4.0,-6.2399088356,106.8122785538,0,3.0,0,269,4,0,00000000000000000000000000000100000010000000000000000000000000000000000000000000000010,qqguw8,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,1.9869667702348364,0.0,0.0
1972,https://www.zomato.com/jakarta/kayuh-clubhouse-senopati/info,150000,91.0,-6.2431580676,106.8084208667,0,4.0,0,669,0,240,00000000100000000010100000000000000010000000000000000000000000000000000000000000000000,qqguqr,0.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.8018924006588724,0.13333333333333333,4.1
