index,encode,new_code,rank
4531,0000000000001000000000010000000010000000000000001000000,0,5
4539,0000000000001000000000010000000010000000000000001000000,0,5
4541,0000000000001000000000010000000010000000000000001000000,0,5
4621,0000000000001000000000010000000010000000000000001000000,0,5
4676,0000000000001000000000010000000010000000000000001000000,0,5
4726,0000000000001000000000010000000010000000000000001000000,0,5
4764,0000000000001000000000010000000010000000000000001000000,0,5
4847,0000000000001000000000010000000010000000000000001000000,0,5
4901,0000000000001000000000010000000010000000000000001000000,0,5
4950,0000000000001000000000010000000010000000000000001000000,0,5
5013,0000000000001000000000010000000010000000000000001000000,0,5
5073,0000000000001000000000010000000010000000000000001000000,0,5
5113,0000000000001000000000010000000010000000000000001000000,0,5
5165,0000000000001000000000010000000010000000000000001000000,0,5
5203,0000000000001000000000010000000010000000000000001000000,0,5
5270,0000000000001000000000010000000010000000000000001000000,0,5
5308,0000000000001000000000010000000010000000000000001000000,0,5
5320,0000000000001000000000010000000010000000000000001000000,0,5
5343,0000000000001000000000010000000010000000000000001000000,0,5
5360,0000000000001000000000010000000010000000000000001000000,0,5
5370,0000000000001000000000010000000010000000000000001000000,0,5
5400,0000000000001000000000010000000010000000000000001000000,0,5
5434,0000000000001000000000010000000010000000000000001000000,0,5
5478,0000000000001000000000010000000010000000000000001000000,0,5
5481,0000000000001000000000010000000010000000000000001000000,0,5
5509,0000000000001000000000010000000010000000000000001000000,0,5
5592,0000000000001000000000010000000010000000000000001000000,0,5
5615,0000000000001000000000010000000010000000000000001000000,0,5
5633,0000000000001000000000010000000010000000000000001000000,0,5
5694,0000000000001000000000010000000010000000000000001000000,0,5
5769,0000000000001000000000010000000010000000000000001000000,0,5
5811,0000000000001000000000010000000010000000000000001000000,0,5
5825,0000000000001000000000010000000010000000000000001000000,0,5
5891,0000000000001000000000010000000010000000000000001000000,0,5
5912,0000000000001000000000010000000010000000000000001000000,0,5
5939,0000000000001000000000010000000010000000000000001000000,0,5
5947,0000000000001000000000010000000010000000000000001000000,0,5
5953,0000000000001000000000010000000010000000000000001000000,0,5
6092,0000000000001000000000010000000010000000000000001000000,0,5
6261,0000000000001000000000010000000010000000000000001000000,0,5
6275,0000000000001000000000010000000010000000000000001000000,0,5
6297,0000000000001000000000010000000010000000000000001000000,0,5
6335,0000000000001000000000010000000010000000000000001000000,0,5
6356,0000000000001000000000010000000010000000000000001000000,0,5
6369,0000000000001000000000010000000010000000000000001000000,0,5
6394,0000000000001000000000010000000010000000000000001000000,0,5
6405,0000000000001000000000010000000010000000000000001000000,0,5
6416,0000000000001000000000010000000010000000000000001000000,0,5
6447,0000000000001000000000010000000010000000000000001000000,0,5
6451,0000000000001000000000010000000010000000000000001000000,0,5
6462,0000000000001000000000010000000010000000000000001000000,0,5
6474,0000000000001000000000010000000010000000000000001000000,0,5
6476,0000000000001000000000010000000010000000000000001000000,0,5
6569,0000000000001000000000010000000010000000000000001000000,0,5
6587,0000000000001000000000010000000010000000000000001000000,0,5
