,index,url,rest_price_idr,review,lat,long,is_chain,rating,alcohol,delivery,entertainment,indoor seating,kid friendly,no alcohol available,others_facility,outdoor seating,parking service,praying room,private dining area available,self service,smoking area,special_meal,table booking,table booking not available,table reservation required,takeaway available,asian,bakery,beverages,cafe,coffee,desserts,drink,fast_food,india,indonesia_traditional,indonesian,melayu,mid_east,noodle,others_type,seafood,snacks,special_food,street_food,tea,western,encode,geohash,d_500_airport,d_500_atm,d_500_bank,d_500_cafe,d_500_convenience_store,d_500_gas_station,d_500_hospital,d_500_lodging,d_500_meal_takeaway,d_500_mosque,d_500_park,d_500_restaurant,d_500_school,d_500_store,d_500_supermarket,d_500_train_station,en_500,n_compt_500,avg_n_rest
2795,3243,https://www.zomato.com/jakarta/nasi-goreng-kambing-kebon-sirih-1958-nasgorkam-bonsir-1958-melawai/info,80000,43.0,-6.2452937709,106.8024817854,1,3.7,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000001000000000000000000000000000000000000000000000000000000000000000000000000,qqguqr,0.0,19.0,7.0,3.0,5.0,2.0,6.0,7.0,0.0,4.0,8.0,4.0,6.0,3.0,3.0,0.0,2.3732199924332344,0.0,0.0
2796,3244,https://www.zomato.com/jakarta/gule-daul-gandaria/info,70000,65.0,-6.243157,106.787941,0,3.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000010000000000000000000000000000000000000000000000000,qqguqp,0.0,14.0,9.0,17.0,4.0,5.0,19.0,6.0,2.0,13.0,6.0,34.0,10.0,7.0,2.0,0.0,2.371640097543431,0.1505376344086021,3.514285714285714
2797,3245,https://www.zomato.com/jakarta/maxs-food-gandaria/info,120000,6.0,-6.243831,106.791799,0,3.4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,00010000000000000000000000000000000000000000000000000000000000000000000000000000000010,qqguqp,0.0,16.0,2.0,2.0,7.0,2.0,22.0,3.0,4.0,4.0,4.0,3.0,17.0,4.0,10.0,0.0,2.3040954965351976,0.1764705882352941,3.766666666666666
2798,3246,https://www.zomato.com/jakarta/bakmi-permata-kebayoran-lama/info,200000,45.0,-6.221152,106.787864,1,3.3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000010000000000001000000000000000000000000000000000000000000000000000000000000000000,qqguw5,0.0,15.0,46.0,6.0,0.0,3.0,6.0,5.0,0.0,18.0,6.0,29.0,6.0,24.0,3.0,0.0,2.122000336663621,0.125,4.0
2799,3247,https://www.zomato.com/jakarta/toast-box-gandaria/info,100000,38.0,-6.24505,106.782931,1,3.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000000000000000010000000000000000000000000,qqgumz,0.0,4.0,6.0,3.0,2.0,5.0,3.0,2.0,0.0,11.0,1.0,3.0,6.0,5.0,4.0,0.0,2.412373276776623,0.0,0.0
2800,3248,https://www.zomato.com/jakarta/ya-kun-kaya-toast-gandaria/info,200000,37.0,-6.244561,106.783175,1,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000000000000100000000000000000000000000000000000000,qqgumz,0.0,3.0,2.0,2.0,2.0,5.0,0.0,1.0,0.0,8.0,1.0,1.0,5.0,5.0,4.0,0.0,2.2846642509041653,0.0,0.0
2801,3249,https://www.zomato.com/jakarta/yumeya-yakiniku-melawai/info,200000,52.0,-6.2451434588,106.7988115177,0,3.9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguqr,0.0,34.0,18.0,25.0,14.0,2.0,6.0,22.0,2.0,5.0,17.0,30.0,14.0,12.0,12.0,0.0,2.423733352106577,0.1739130434782608,3.7875
2802,3250,https://www.zomato.com/jakarta/gong-cha-blok-m/info,60000,5.0,-6.244386,106.797635,1,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,00000000000000100000000000000000000000000000000000000000000000000000000000000000100000,qqguqp,0.0,23.0,18.0,7.0,16.0,4.0,4.0,37.0,10.0,7.0,14.0,15.0,12.0,14.0,24.0,0.0,2.4738689117754067,0.0459770114942528,3.625
2803,3251,https://www.zomato.com/jakarta/hanamasa-blok-m/info,350000,156.0,-6.243968956,106.796375066,1,3.7,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000000000000000000000000000,qqguqp,0.0,13.0,10.0,6.0,9.0,6.0,4.0,29.0,10.0,9.0,12.0,14.0,11.0,11.0,14.0,0.0,2.5302523933307377,0.3513513513513513,3.826923076923076
2804,3252,https://www.zomato.com/jakarta/izakaya-taichan-melawai/info,300000,65.0,-6.2448108388,106.7988608033,0,3.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,00000000000000000000000000000000000000100000000000000000000000001000000000000010000000,qqguqr,0.0,34.0,18.0,25.0,14.0,2.0,6.0,22.0,2.0,5.0,14.0,28.0,16.0,11.0,12.0,0.0,2.4250108402774684,0.1954022988505747,3.8058823529411767
