index,encode,new_code,rank
3090,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
3167,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
3293,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
3712,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
3732,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
4249,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
4464,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
4606,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
4961,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5002,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5015,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5231,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5348,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5709,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5720,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5738,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
5885,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
6361,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
6613,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
6786,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
6981,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
7020,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
7110,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
7153,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
7177,00000000000000000000000000000000000010000000000000000000000000000100000000000000000000,0,38
23,00000000000000101000000100000000000000000000000000000000000000000000000000000000000000,0,1068
24,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
70,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
269,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
458,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
647,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
903,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
1328,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
1937,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2013,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2048,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2082,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2104,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2169,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2386,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2396,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
2458,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
3222,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
3789,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
4798,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
6740,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
6947,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
7284,00000000000000000000000000000000000010100000000000000000000000000000000000000000000000,0,52
25,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,1,5
636,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,1,5
841,00000000000000000000000000000000000000010000000000000000000000000000000000000000000000,1,5
