index,encode,new_code,rank
365,000000000000000000000010000000010000000000000001000000,4,0
371,000000000000000000000010000000010000000000000001000000,4,0
375,000000000000000000000010000000010000000000000001000000,4,0
376,000000000000000000000010000000010000000000000001000000,4,0
383,000000000000000000000010000000010000000000000001000000,4,0
384,000000000000000000000010000000010000000000000001000000,4,0
397,000000000000000000000010000000010000000000000001000000,4,0
399,000000000000000000000010000000010000000000000001000000,4,0
400,000000000000000000000010000000010000000000000001000000,4,0
412,000000000000000000000010000000010000000000000001000000,4,0
418,000000000000000000000010000000010000000000000001000000,4,0
420,000000000000000000000010000000010000000000000001000000,4,0
422,000000000000000000000010000000010000000000000001000000,4,0
423,000000000000000000000010000000010000000000000001000000,4,0
426,000000000000000000000010000000010000000000000001000000,4,0
441,000000000000000000000010000000010000000000000001000000,4,0
442,000000000000000000000010000000010000000000000001000000,4,0
475,000000000000000000000010000000010000000000000001000000,4,0
480,000000000000000000000010000000010000000000000001000000,4,0
482,000000000000000000000010000000010000000000000001000000,4,0
492,000000000000000000000010000000010000000000000001000000,4,0
504,000000000000000000000010000000010000000000000001000000,4,0
507,000000000000000000000010000000010000000000000001000000,4,0
509,000000000000000000000010000000010000000000000001000000,4,0
510,000000000000000000000010000000010000000000000001000000,4,0
511,000000000000000000000010000000010000000000000001000000,4,0
517,000000000000000000000010000000010000000000000001000000,4,0
519,000000000000000000000010000000010000000000000001000000,4,0
520,000000000000000000000010000000010000000000000001000000,4,0
521,000000000000000000000010000000010000000000000001000000,4,0
523,000000000000000000000010000000010000000000000001000000,4,0
531,000000000000000000000010000000010000000000000001000000,4,0
535,000000000000000000000010000000010000000000000001000000,4,0
539,000000000000000000000010000000010000000000000001000000,4,0
546,000000000000000000000010000000010000000000000001000000,4,0
551,000000000000000000000010000000010000000000000001000000,4,0
559,000000000000000000000010000000010000000000000001000000,4,0
562,000000000000000000000010000000010000000000000001000000,4,0
563,000000000000000000000010000000010000000000000001000000,4,0
564,000000000000000000000010000000010000000000000001000000,4,0
569,000000000000000000000010000000010000000000000001000000,4,0
574,000000000000000000000010000000010000000000000001000000,4,0
578,000000000000000000000010000000010000000000000001000000,4,0
593,000000000000000000000010000000010000000000000001000000,4,0
594,000000000000000000000010000000010000000000000001000000,4,0
600,000000000000000000000010000000010000000000000001000000,4,0
601,000000000000000000000010000000010000000000000001000000,4,0
607,000000000000000000000010000000010000000000000001000000,4,0
609,000000000000000000000010000000010000000000000001000000,4,0
611,000000000000000000000010000000010000000000000001000000,4,0
612,000000000000000000000010000000010000000000000001000000,4,0
615,000000000000000000000010000000010000000000000001000000,4,0
618,000000000000000000000010000000010000000000000001000000,4,0
623,000000000000000000000010000000010000000000000001000000,4,0
630,000000000000000000000010000000010000000000000001000000,4,0
632,000000000000000000000010000000010000000000000001000000,4,0
636,000000000000000000000010000000010000000000000001000000,4,0
638,000000000000000000000010000000010000000000000001000000,4,0
643,000000000000000000000010000000010000000000000001000000,4,0
644,000000000000000000000010000000010000000000000001000000,4,0
646,000000000000000000000010000000010000000000000001000000,4,0
647,000000000000000000000010000000010000000000000001000000,4,0
651,000000000000000000000010000000010000000000000001000000,4,0
654,000000000000000000000010000000010000000000000001000000,4,0
655,000000000000000000000010000000010000000000000001000000,4,0
656,000000000000000000000010000000010000000000000001000000,4,0
657,000000000000000000000010000000010000000000000001000000,4,0
658,000000000000000000000010000000010000000000000001000000,4,0
662,000000000000000000000010000000010000000000000001000000,4,0
663,000000000000000000000010000000010000000000000001000000,4,0
664,000000000000000000000010000000010000000000000001000000,4,0
669,000000000000000000000010000000010000000000000001000000,4,0
672,000000000000000000000010000000010000000000000001000000,4,0
678,000000000000000000000010000000010000000000000001000000,4,0
681,000000000000000000000010000000010000000000000001000000,4,0
692,000000000000000000000010000000010000000000000001000000,4,0
698,000000000000000000000010000000010000000000000001000000,4,0
709,000000000000000000000010000000010000000000000001000000,4,0
710,000000000000000000000010000000010000000000000001000000,4,0
715,000000000000000000000010000000010000000000000001000000,4,0
721,000000000000000000000010000000010000000000000001000000,4,0
723,000000000000000000000010000000010000000000000001000000,4,0
726,000000000000000000000010000000010000000000000001000000,4,0
727,000000000000000000000010000000010000000000000001000000,4,0
731,000000000000000000000010000000010000000000000001000000,4,0
732,000000000000000000000010000000010000000000000001000000,4,0
745,000000000000000000000010000000010000000000000001000000,4,0
746,000000000000000000000010000000010000000000000001000000,4,0
750,000000000000000000000010000000010000000000000001000000,4,0
751,000000000000000000000010000000010000000000000001000000,4,0
766,000000000000000000000010000000010000000000000001000000,4,0
767,000000000000000000000010000000010000000000000001000000,4,0
775,000000000000000000000010000000010000000000000001000000,4,0
781,000000000000000000000010000000010000000000000001000000,4,0
790,000000000000000000000010000000010000000000000001000000,4,0
791,000000000000000000000010000000010000000000000001000000,4,0
794,000000000000000000000010000000010000000000000001000000,4,0
795,000000000000000000000010000000010000000000000001000000,4,0
803,000000000000000000000010000000010000000000000001000000,4,0
811,000000000000000000000010000000010000000000000001000000,4,0
813,000000000000000000000010000000010000000000000001000000,4,0
818,000000000000000000000010000000010000000000000001000000,4,0
819,000000000000000000000010000000010000000000000001000000,4,0
824,000000000000000000000010000000010000000000000001000000,4,0
826,000000000000000000000010000000010000000000000001000000,4,0
827,000000000000000000000010000000010000000000000001000000,4,0
843,000000000000000000000010000000010000000000000001000000,4,0
846,000000000000000000000010000000010000000000000001000000,4,0
857,000000000000000000000010000000010000000000000001000000,4,0
858,000000000000000000000010000000010000000000000001000000,4,0
859,000000000000000000000010000000010000000000000001000000,4,0
864,000000000000000000000010000000010000000000000001000000,4,0
868,000000000000000000000010000000010000000000000001000000,4,0
871,000000000000000000000010000000010000000000000001000000,4,0
873,000000000000000000000010000000010000000000000001000000,4,0
876,000000000000000000000010000000010000000000000001000000,4,0
880,000000000000000000000010000000010000000000000001000000,4,0
883,000000000000000000000010000000010000000000000001000000,4,0
889,000000000000000000000010000000010000000000000001000000,4,0
895,000000000000000000000010000000010000000000000001000000,4,0
904,000000000000000000000010000000010000000000000001000000,4,0
906,000000000000000000000010000000010000000000000001000000,4,0
910,000000000000000000000010000000010000000000000001000000,4,0
911,000000000000000000000010000000010000000000000001000000,4,0
