url,title,franchise_flag,rest_type,rest_price,rest_facility,rest_longlat,rating,review
https://www.zomato.com/jakarta/bingsuljip-kelapa-gading/info,BINGSULJIP,0,Korean,Rp100.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1507172689,106.8912414461']",3.4,26
https://www.zomato.com/jakarta/sei-sapi-kana-kelapa-gading/info,Sei Sapi Kana,0,Indonesian,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1459630000,106.9057090000']",3,34
https://www.zomato.com/jakarta/dimsum-go-kelapa-gading/info,Dimsum Go!,0,Dimsum,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1572580000,106.9084230000']",4,173
https://www.zomato.com/jakarta/onokabe-kelapa-gading/info,Onokabe,0,Japanese,Rp300.000 for two people (approx.),Live Entertainment|Indoor Seating|Table booking recommended|Praying Room|Wifi|Buffet|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1749700000,106.8948330000']",3.8,151
https://www.zomato.com/jakarta/java-kitchen-kelapa-gading/info,Java Kitchen,0,Jawa,"Rp160.000 for two people (approx.)|Follow my ig: @andrisellyKarena bingung mau makan apa di foodcourt, akhirnya saya pesan nasi dng lauk disini.Saya pesan nasi pakai kari ayam, krecek & telur sambal seharga Rp 65rb! Gila mahal bgt sih Kari ayamnya ok enak, dapet paha atas aja 1 potong.  Kreceknya kenyel banget, aku ga bs abisin karena ga suka. Telur sambalnya biasa aja. Sambelnya tipe yg agak manis. Ada cabe hijau juga tapi tidak pedas dan overall makanannya berminyak",Breakfast|Home Delivery|Takeaway Available|Private Dining Area Available|Indoor Seating|Kid Friendly|Table booking recommended|Smoking Area|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1672136449,106.9010864943']",3.5,53
https://www.zomato.com/jakarta/doner-kebab-1-kelapa-gading/info,Doner Kebab,0,Kebab|Fast Food,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1560410000,106.9095390000']",3.3,59
https://www.zomato.com/jakarta/soto-betawi-nyonya-afung-express-kelapa-gading/info,Soto Betawi Nyonya Afung Express,0,Indonesian,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1506090000,106.8914800000']",3.6,81
https://www.zomato.com/jakarta/xin-jang-satay-kelapa-gading/info,Xin Jang Satay,0,Satay|Chinese,Rp80.000 for two people (approx.) Without alcohol,Home Delivery|Takeaway Available|Beer|Indoor Seating|Wifi|Smoking Area|Table booking not available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1710656589,106.8982755393']",3.7,19
https://www.zomato.com/jakarta/voguerina-taipei-kelapa-gading/info,Voguerina Taipei,0,Bakery,Rp80.000 for two people (approx.),Takeaway Available|Indoor Seating|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1457907240,106.8917866051']",3.3,27
https://www.zomato.com/jakarta/sandjaja-kelapa-gading/info,Sandjaja,0,Seafood|Jawa,Rp200.000 for two people (approx.),Indoor Seating|Wifi|Table booking recommended|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1704206585,106.8994255364']",3.8,82
https://www.zomato.com/jakarta/ojju-kelapa-gading/info,OJJU,0,Korean,Rp200.000 for two people (approx.),Takeaway Available|Indoor Seating|Table booking recommended|Kid Friendly|Wifi|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1507792713,106.8916605413']",3.8,78
https://www.zomato.com/jakarta/mcdonald-s-kelapa-gading/info,McDonald's,0,Fast Food,Rp100.000 for two people (approx.),Breakfast|Home Delivery|Takeaway Available|Wifi|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1467600000,106.8964200000']",4.1,177
https://www.zomato.com/jakarta/bakso-boedjangan-kelapa-gading/info,Bakso Boedjangan,0,Bakso|Bakmi|Indonesian,Rp100.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1618820000,106.9041700000']",3.1,382
https://www.zomato.com/jakarta/soto-mie-pak-kadir-kelapa-gading/info,Soto Mie Pak Kadir,0,Soto,Rp80.000 for two people (approx.),Breakfast|Takeaway Available|Indoor Seating|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1465270919,106.9067660719']",3.5,17
https://www.zomato.com/jakarta/pastel-ma-cik-kelapa-gading/info,Pastel Ma' Cik,0,Street Food,Rp60.000 for two people (approx.),Takeaway Available|Indoor Seating|Wifi|Desserts and Bakes|No Alcohol Available,"['https://www.google.com/maps/dir/?api=1&destination=-6.1572570000,106.9084250000']",3.7,27
