index,url,rest_price_idr,review,lat,long,is_chain,rating,new_code_res_type,rank_res_type,new_code_fac,rank_fac
143,https://www.zomato.com/jakarta/sibas-fish-factory-kelapa-gading/info,120000.0,37.0,-6.150311,106.892115,0,3.4,0,20,0,28
144,https://www.zomato.com/jakarta/starbucks-coffee-kelapa-gading/info,120000.0,137.0,-6.1563997896,106.9088343903,1,4.0,0,23,0,11
145,https://www.zomato.com/jakarta/sentosa-live-seafood-kelapa-gading/info,300000.0,25.0,-6.145361,106.904616,0,2.9,0,20,0,61
146,https://www.zomato.com/jakarta/koko-brown-kelapa-gading/info,60000.0,19.0,-6.150286,106.891512,0,3.9,0,13,0,18
148,https://www.zomato.com/jakarta/ropang-plus-plus-kelapa-gading/info,70000.0,24.0,-6.169317656,106.9244867563,0,3.7,0,34,0,10
149,https://www.zomato.com/jakarta/gaya-gelato-kelapa-gading/info,80000.0,224.0,-6.1565541272,106.9097902626,1,4.3,0,22,0,19
150,https://www.zomato.com/jakarta/rm-yung-fa-kelapa-gading/info,80000.0,32.0,-6.1711233255,106.9024614617,0,3.8,2,2,1,2
151,https://www.zomato.com/jakarta/soto-betawi-bang-sawit-kelapa-gading/info,150000.0,215.0,-6.1476724769,106.9093242288,0,4.3,0,41,0,3
152,https://www.zomato.com/jakarta/kalima-coffee-kelapa-gading/info,100000.0,94.0,-6.1698859909,106.9003455341,1,3.8,0,42,0,6
153,https://www.zomato.com/jakarta/restoran-ikan-tude-manado-kelapa-gading/info,150000.0,64.0,-6.1718399916,106.8980659917,0,3.9,0,58,0,119
154,https://www.zomato.com/jakarta/kopium-artisan-coffee-kelapa-gading/info,180000.0,499.0,-6.1731926546,106.8998308852,0,4.4,0,219,0,30
155,https://www.zomato.com/jakarta/aroma-palopo-kelapa-gading/info,80000.0,20.0,-6.171444,106.898231,0,3.7,0,88,0,32
156,https://www.zomato.com/jakarta/pepper-lunch-kelapa-gading/info,200000.0,172.0,-6.156627,106.90961,1,4.1,2,1,0,69
157,https://www.zomato.com/jakarta/district-7-coffee-kelapa-gading/info,8.0000120000235e+16,56.0,-6.1565084593,106.9091495499,0,3.3,0,31,0,19
158,https://www.zomato.com/jakarta/bangikopi-1-kelapa-gading/info,100000.0,101.0,-6.147913,106.909288,0,3.3,0,403,0,354
159,https://www.zomato.com/jakarta/6pack-kelapa-gading/info,200000.0,134.0,-6.1507436033,106.8915200606,0,4.0,0,30,0,389
160,https://www.zomato.com/jakarta/raa-cha-kelapa-gading/info,200000.0,325.0,-6.156321,106.91017,1,4.2,0,94,0,91
161,https://www.zomato.com/jakarta/santai-malam-1001-2-kelapa-gading/info,200000.0,54.0,-6.1707723255,106.8993588164,0,3.8,0,73,0,7
162,https://www.zomato.com/jakarta/hokkaido-baked-cheese-tart-kelapa-gading/info,100000.0,103.0,-6.1569374709,106.9100065157,0,4.1,0,89,0,5
163,https://www.zomato.com/jakarta/bleu-alley-brasserie-1-kelapa-gading/info,550000.0,158.0,-6.164391,106.912222,0,4.2,0,171,0,1280
